pair_id,source_attribute_id,target_attribute_id,source_label,target_label,source_category,target_category,source_subcategory,target_subcategory,embedding_similarity,lexical_similarity,evidence_support,retrieval_relation_hint,retrieval_status,candidate_source,step4_relation_hint,step4_score,pre_llm_pair_score,relation_type,merge_decision,direction,llm_confidence,rationale,final_merge_confidence,llm_provider,llm_model
pair_attr_life_context_and_constraints_re__attr_life_context_and_constraints_sp__e557fb698b06,attr_life_context_and_constraints__respondent_s_occupational_prestige_score_1970__f5931facf3,attr_life_context_and_constraints__spouse_s_occupational_prestige_score_1970__738caadc9c,respondent's occupational prestige score(1970),spouse's occupational prestige score (1970),Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9054,1.0,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.9044,related_but_distinct,keep_separate,none,0.95,"Attributes represent occupational prestige scores of different individuals (respondent vs spouse), thus related but distinct and should be kept separate.",0.9201,openai,gpt-4.1-mini
pair_attr_domain_specific_overlays_respon__attr_domain_specific_overlays_respon__e0d52086afb0,attr_domain_specific_overlays__respondent_s_kids_living_standard_compared_to_r_no_vol__94972952af,attr_domain_specific_overlays__respondent_s_kids_living_standard_compared_to_r_with_v__b2ff981ca6,respondent's kids living standard compared to r (no volunteered response on web),respondent's kids living standard compared to r (with volunteered response on web),Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.9224,0.963,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.963,0.9045,related_but_distinct,keep_separate,none,0.9,"Both attributes measure the same concept but differ by inclusion of volunteered responses, making them related but distinct rather than duplicates or aliases.",0.8971,openai,gpt-4.1-mini
pair_attr_domain_specific_overlays_people__attr_domain_specific_overlays_people__88a3b2824443,attr_domain_specific_overlays__people_helpful_or_looking_out_for_selves_no_volunteere__a0d3738a7e,attr_domain_specific_overlays__people_helpful_or_looking_out_for_selves_with_voluntee__026ad8c642,people helpful or looking out for selves (no volunteered response on web),people helpful or looking out for selves (with volunteered response on web),Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.9266,0.9595,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9595,0.9059,related_but_distinct,keep_separate,none,0.9,"Attributes differ by inclusion of volunteered response, indicating related but distinct data collection methods rather than duplicates or aliases.",0.8978,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_a__attr_life_context_and_constraints_a__45e107116bfc,attr_life_context_and_constraints__a_woman_won_t_get_a_job_or_promotion_no_volunteered_re__4d28c13fd7,attr_life_context_and_constraints__a_woman_won_t_get_a_job_or_promotion_with_volunteered__613245e245,a woman won't get a job or promotion (no volunteered response on web),a woman won't get a job or promotion (with volunteered response on web),Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9189,0.9571,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9571,0.9011,alias_of,merge,symmetric,0.95,"Both attributes describe the same concept with the only difference being the source of the response (volunteered or not), making them aliases.",0.9177,openai,gpt-4.1-mini
pair_attr_domain_specific_overlays_should__attr_domain_specific_overlays_should__d339c0d9211f,attr_domain_specific_overlays__should_marijuana_be_made_legal_no_volunteered_response__e3ebcf4a58,attr_domain_specific_overlays__should_marijuana_be_made_legal_with_volunteered_respon__f52ce28b66,should marijuana be made legal (no volunteered response on web),should marijuana be made legal (with volunteered response on web),Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.9193,0.9531,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9531,0.9003,related_but_distinct,keep_separate,none,0.9,"Both attributes ask about the same topic but differ by inclusion of volunteered response, indicating related but distinct measurement approaches rather than duplicates or aliases.",0.8947,openai,gpt-4.1-mini
pair_attr_demographics_and_population_sho__attr_demographics_and_population_sho__bdcbda2de689,attr_demographics_and_population__should_aged_live_with_their_children_no_volunteered_re__df218fd09e,attr_demographics_and_population__should_aged_live_with_their_children_with_volunteered__78b2ab981d,should aged live with their children (no volunteered response on web),should aged live with their children (with volunteered response on web),Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.9086,0.9571,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9571,0.8954,related_but_distinct,keep_separate,none,0.9,"Both attributes concern the same question but differ by inclusion of volunteered responses, making them related but distinct rather than duplicates or aliases.",0.8921,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_pu__attr_life_context_and_constraints_re__73589076eea6,attr_life_context_and_constraints__public_assistance_income_past_12_months_use_adjinc_to__fe297feec8,attr_life_context_and_constraints__retirement_income_past_12_months_use_adjinc_to_adjust__1fca0ceb6f,Public assistance income past 12 months (use ADJINC to adjust to constant dollars),Retirement income past 12 months (use ADJINC to adjust to constant dollars),Life Context & Constraints,Life Context & Constraints,poverty public assistance and retirement income,poverty public assistance and retirement income,0.9455,0.8535,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.8182,0.8898,related_but_distinct,keep_separate,none,0.95,"Both attributes measure income in the past 12 months adjusted to constant dollars but represent different income sources: public assistance versus retirement income, so they are related but distinct.",0.9101,openai,gpt-4.1-mini
pair_attr_domain_specific_overlays_bible__attr_domain_specific_overlays_bible__fdcaa9c79301,attr_domain_specific_overlays__bible_prayer_in_public_schools_no_volunteered_response__0b0f189cb5,attr_domain_specific_overlays__bible_prayer_in_public_schools_with_volunteered_respon__c9c1029aa1,bible prayer in public schools (no volunteered response on web),bible prayer in public schools (with volunteered response on web),Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.9183,0.9531,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9531,0.8998,related_but_distinct,keep_separate,none,0.9,"Both attributes concern bible prayer in public schools but differ by response type (no volunteered vs. with volunteered response), indicating related but distinct constructs rather than duplicates or aliases.",0.8944,openai,gpt-4.1-mini
pair_attr_domain_specific_overlays_courts__attr_domain_specific_overlays_courts__559cae7d2eba,attr_domain_specific_overlays__courts_dealing_with_criminals_no_volunteered_response__8e81771057,attr_domain_specific_overlays__courts_dealing_with_criminals_with_volunteered_respons__eb3065ac4a,courts dealing with criminals (no volunteered response on web),courts dealing with criminals (with volunteered response on web),Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.9143,0.9524,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9524,0.8974,related_but_distinct,keep_separate,none,0.9,"Both attributes refer to courts dealing with criminals but differ by response type (no volunteered vs. with volunteered response), indicating related but distinct constructs rather than duplicates or aliases.",0.8931,openai,gpt-4.1-mini
pair_attr_cognitive_and_capability_pro_fi__attr_cognitive_and_capability_pro_fi__fb691d067110,attr_cognitive_and_capability_pro__field_of_degree_science_and_engineering_flag_nsf_defin__d8da4e0445,attr_cognitive_and_capability_pro__field_of_degree_science_and_engineering_related_flag_n__cefae1a302,Field of Degree Science and Engineering Flag - NSF Definition,Field of Degree Science and Engineering Related Flag - NSF Definition,Cognitive & Capability Profile,Cognitive & Capability Profile,education language and field of training,education language and field of training,0.9221,0.9385,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9385,0.8982,related_but_distinct,keep_separate,none,0.85,"Both attributes relate to the field of degree in science and engineering but one is a direct flag and the other is a related flag, indicating related but distinct concepts rather than duplicates or aliases.",0.8708,openai,gpt-4.1-mini
