trial_id,persona_id,risk_tolerance,decision_style,risk_posture,exploration_style,winner,chip_delta,pot_size,strategy_basis,reward
texas-holdem_web__23QxWWo,0982,unknown,unknown,balanced,compared_multiple,opponent,-260,520,hand_strength,1.0
texas-holdem_web__26XNhMv,0112,unknown,unknown,opportunistic,compared_multiple,opponent,-140,340,hand_strength,1.0
texas-holdem_web__28u3aMt,0914,unknown,unknown,opportunistic,compared_multiple,player,20,70,hand_strength,1.0
texas-holdem_web__2BooiDD,0292,unknown,unknown,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__2Ec8wKL,0715,unknown,unknown,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__2JDpk9A,0861,unknown,unknown,risk_averse,quick_pick,tie,0,40,hand_strength,1.0
texas-holdem_web__2MgiGhE,0424,unknown,unknown,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__2TCkpCw,0199,unknown,unknown,risk_averse,compared_multiple,opponent,-140,340,hand_strength,1.0
texas-holdem_web__2bRWxPu,0227,unknown,unknown,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__2bz2JEF,0412,unknown,unknown,risk_averse,compared_multiple,opponent,-140,340,hand_strength,1.0
texas-holdem_web__2dPk2ZQ,0995,unknown,unknown,opportunistic,quick_pick,player,20,90,hand_strength,1.0
texas-holdem_web__2doHvcB,0859,unknown,unknown,balanced,quick_pick,player,70,140,hand_strength,1.0
texas-holdem_web__2eFT9mL,0282,unknown,unknown,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__2eWSFHg,0950,unknown,unknown,risk_seeking,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__2gJ7sH2,0843,unknown,unknown,balanced,compared_multiple,opponent,-10,30,hand_strength,1.0
texas-holdem_web__2hTV4hF,0685,unknown,unknown,risk_averse,quick_pick,player,20,40,hand_strength,1.0
texas-holdem_web__2j5Ezpd,0928,unknown,unknown,risk_averse,quick_pick,opponent,-10,30,hand_strength,1.0
texas-holdem_web__2kn7S3W,0485,unknown,unknown,balanced,quick_pick,player,20,40,hand_strength,1.0
texas-holdem_web__2mrB7dg,0582,unknown,unknown,balanced,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__2nPfXkW,0378,unknown,unknown,risk_averse,quick_pick,opponent,-10,30,hand_strength,1.0
texas-holdem_web__34CtpEs,0955,unknown,unknown,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__39FeuqE,0464,unknown,unknown,balanced,quick_pick,player,70,220,hand_strength,1.0
texas-holdem_web__3AkxvzN,0719,unknown,unknown,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__3Dc2eSd,0249,unknown,unknown,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__3Df4YAs,0562,unknown,unknown,balanced,compared_multiple,player,60,120,hand_strength,1.0
texas-holdem_web__3HAfGk7,0912,unknown,unknown,balanced,compared_multiple,opponent,-80,220,hand_strength,1.0
texas-holdem_web__3JtsRAr,0518,unknown,unknown,balanced,quick_pick,opponent,-20,40,hand_strength,1.0
texas-holdem_web__3LbSuGq,0906,unknown,unknown,balanced,compared_multiple,opponent,-200,400,hand_strength,1.0
texas-holdem_web__3MuhYFn,0193,unknown,unknown,opportunistic,compared_multiple,player,20,80,hand_strength,1.0
texas-holdem_web__3MxcW4z,0924,unknown,unknown,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__3Tt9nzW,0537,unknown,unknown,opportunistic,compared_multiple,player,20,80,hand_strength,1.0
texas-holdem_web__3YM8juS,0335,unknown,unknown,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__3fRn7dq,0549,unknown,unknown,risk_averse,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__3g73Wtb,0725,unknown,unknown,risk_averse,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__3ixcbVp,0636,unknown,unknown,opportunistic,quick_pick,player,470,940,hand_strength,1.0
texas-holdem_web__3jb4atZ,0264,unknown,unknown,opportunistic,compared_multiple,player,60,120,hand_strength,1.0
texas-holdem_web__3maynkz,0022,unknown,unknown,balanced,compared_multiple,player,570,1140,hand_strength,1.0
texas-holdem_web__3pi6G4J,0399,unknown,unknown,risk_seeking,quick_pick,player,20,90,hand_strength,1.0
texas-holdem_web__3t2S5ZR,0419,unknown,unknown,balanced,quick_pick,player,20,90,hand_strength,1.0
texas-holdem_web__3uVUTSo,0551,unknown,unknown,balanced,compared_multiple,player,20,40,hand_strength,1.0
texas-holdem_web__3veAV9i,0460,unknown,unknown,risk_averse,quick_pick,opponent,-10,30,hand_strength,1.0
texas-holdem_web__3zVj6wz,0923,unknown,unknown,risk_averse,compared_multiple,opponent,-20,100,hand_strength,1.0
texas-holdem_web__4C7Wr4Y,0671,unknown,unknown,risk_averse,compared_multiple,opponent,-130,320,hand_strength,1.0
texas-holdem_web__4Ecx3WF,0440,unknown,unknown,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__4GJqtrT,0049,unknown,unknown,balanced,quick_pick,player,20,90,hand_strength,1.0
texas-holdem_web__4H4wYJV,0915,unknown,unknown,balanced,quick_pick,opponent,-20,100,hand_strength,1.0
texas-holdem_web__4SXdqyD,0907,unknown,unknown,risk_averse,quick_pick,player,20,80,hand_strength,1.0
