domain,cluster,size,top_terms,representative_user,common_occupations,example_users,silhouette,k
Movie / film,1,8,"film, historical, blues, storytelling, color, abstract",Nemotron_33E2F5CD.yaml,"television_video_or_film_camera_operator_or_editor, producer_or_director, entertainment_attendant_or_related_worker",Nemotron_0346F0E6.yaml; Nemotron_E6799456.yaml; Nemotron_57A28E83.yaml; Nemotron_D50EF2A3.yaml; Nemotron_9629F49C.yaml,0.11437911857411823,6
Movie / film,2,9,"actor, script, film, stage, acting, script analysis",Nemotron_1944D891.yaml,"actor, producer_or_director, news_analyst_reporter_or_journalist",Nemotron_DC5AA468.yaml; Nemotron_19D95E15.yaml; Nemotron_6A6A08DC.yaml; Nemotron_1944D891.yaml; Nemotron_00CD8716.yaml,0.11437911857411823,6
Movie / film,3,7,"six, sigma, six sigma, lean, lean six, operations",Nemotron_A414C4A9.yaml,"computer_support_specialist, photographer, project_management_specialist",Nemotron_0D387DAA.yaml; Nemotron_61FA31AA.yaml; Nemotron_A414C4A9.yaml; Nemotron_ED5FAE08.yaml; Nemotron_59D510FC.yaml,0.11437911857411823,6
Movie / film,4,9,"theater, his, community theater, emergency, management, procurement",Nemotron_6F8EDDD9.yaml,"broadcast_sound_or_lighting_technician, software_developer, coach_or_scout",Nemotron_F4E81C14.yaml; Nemotron_2856A50C.yaml; Nemotron_F0730CE1.yaml; Nemotron_6F8EDDD9.yaml; Nemotron_2348BEB1.yaml,0.11437911857411823,6
Movie / film,5,8,"she, her, arts, music, education, art",Nemotron_F6D7E39D.yaml,"speech_language_pathologist, entertainer_or_performer_or_sports_worker, musician_or_singer",Nemotron_7D403154.yaml; Nemotron_81EE4579.yaml; Nemotron_07CE6779.yaml; Nemotron_8114965E.yaml; Nemotron_F6D7E39D.yaml,0.11437911857411823,6
Movie / film,6,9,"art, digital, design, packaging, his, film",Nemotron_E7B2C813.yaml,"not_in_workforce, producer_or_director, photographic_process_worker_or_processing_machine_operator",Nemotron_DCE8F389.yaml; Nemotron_9D5DF1B5.yaml; Nemotron_2BE10849.yaml; Nemotron_BB6ED2CF.yaml; Nemotron_C5DFFE4E.yaml,0.11437911857411823,6
Beauty,1,15,"hair, beauty, her, salon, skincare, skin",Nemotron_B9703EB5.yaml,"hairdresser_hairstylist_or_cosmetologist, personal_appearance_worker, skincare_specialist",Nemotron_B9703EB5.yaml; Nemotron_4DA88E6F.yaml; Nemotron_314682AC.yaml; Nemotron_C60AB24F.yaml; Nemotron_EC9DA548.yaml,0.20939201156741702,5
Beauty,2,6,"nail, nail art, art, mexican, polish, salon",Nemotron_B6BD82BB.yaml,manicurist_or_pedicurist,Nemotron_B6BD82BB.yaml; Nemotron_F6736C89.yaml; Nemotron_F174C00B.yaml; Nemotron_F109DED6.yaml; Nemotron_29BC246C.yaml,0.20939201156741702,5
Beauty,3,7,"fashion, her, sustainable, hip hop, hip, hop",Nemotron_EF4FC311.yaml,"not_in_workforce, fashion_designer, personal_appearance_worker",Nemotron_2CE5BEBC.yaml; Nemotron_EF4FC311.yaml; Nemotron_743E4506.yaml; Nemotron_E6118485.yaml; Nemotron_32D739C3.yaml,0.20939201156741702,5
Beauty,4,12,"wellness, massage, art, his, recreation, senior",Nemotron_CEE8984B.yaml,"barber, massage_therapist, acupuncturist",Nemotron_F02E0666.yaml; Nemotron_B107ABF7.yaml; Nemotron_9DEC91B7.yaml; Nemotron_2AE05228.yaml; Nemotron_52FB1870.yaml,0.20939201156741702,5
Beauty,5,10,"his, style, restaurant, wellness, health, service",Nemotron_E45A72A7.yaml,"personal_care_or_service_worker, personal_service_manager, software_developer",Nemotron_6D759C33.yaml; Nemotron_607B7E76.yaml; Nemotron_6D574DD4.yaml; Nemotron_85B24790.yaml; Nemotron_3CD94D4C.yaml,0.20939201156741702,5
Game,1,13,"game, his, lego, competitive, gaming, strategy",Nemotron_7839EDCD.yaml,"not_in_workforce, no_occupation",Nemotron_713EDCBF.yaml; Nemotron_1473E563.yaml; Nemotron_7427AC68.yaml; Nemotron_36A000EC.yaml; Nemotron_7BD9AE09.yaml,0.20327141129942153,4
Game,2,11,"arcade, service, vintage, vintage arcade, vending, her",Nemotron_080AE97F.yaml,coin_vending_or_amusement_machine_servicer_or_repairer,Nemotron_30B017A3.yaml; Nemotron_F28427DA.yaml; Nemotron_C40FB0BD.yaml; Nemotron_B0EFB547.yaml; Nemotron_BC95D407.yaml,0.20327141129942153,4
Game,3,14,"casino, his, gaming, security, floor, compliance",Nemotron_7997C4ED.yaml,"gambling_services_worker, security_guard_or_gambling_surveillance_officer, gambling_cage_worker",Nemotron_B93650F2.yaml; Nemotron_7997C4ED.yaml; Nemotron_EC4738D0.yaml; Nemotron_1BD8BE19.yaml; Nemotron_00024B04.yaml,0.20327141129942153,4
Game,4,12,"art, concept, indie, abstract, game, creative",Nemotron_93A40CC7.yaml,"no_occupation, computer_occupation, not_in_workforce",Nemotron_8A485D4A.yaml; Nemotron_528B6C30.yaml; Nemotron_31259C2D.yaml; Nemotron_9148C057.yaml; Nemotron_4E954075.yaml,0.20327141129942153,4
Finance,1,9,"tax, mexican, bilingual, her, she, spanish",Nemotron_6D97E519.yaml,"tax_preparer, bookkeeping_accounting_or_auditing_clerk, budget_analyst",Nemotron_381C6F79.yaml; Nemotron_64A61EDB.yaml; Nemotron_1BE6B639.yaml; Nemotron_8ABF798C.yaml; Nemotron_2A2DC2F3.yaml,0.0924493524926488,3
Finance,2,26,"his, art, finance, her, investment, management",Nemotron_774AEC1B.yaml,"financial_manager, personal_financial_advisor, financial_or_investment_analyst",Nemotron_AAC5CD6D.yaml; Nemotron_5793C2B8.yaml; Nemotron_5DC69A5F.yaml; Nemotron_B7F39A18.yaml; Nemotron_54EAE98D.yaml,0.0924493524926488,3
Finance,3,15,"his, audit, her, art, accounting, community",Nemotron_44C3DCA3.yaml,"accountant_or_auditor, bookkeeping_accounting_or_auditing_clerk, financial_clerk",Nemotron_47ED0374.yaml; Nemotron_02C6ED08.yaml; Nemotron_E8E5E3B9.yaml; Nemotron_DAD23A86.yaml; Nemotron_FA019285.yaml,0.0924493524926488,3
Medical / healthcare,1,6,"foot, emanuel, his, her, surgery, caregiving",Nemotron_DAD2FEF2.yaml,"medical_records_specialist, personal_care_aide, surgeon",Nemotron_6AF8DAA8.yaml; Nemotron_85B24790.yaml; Nemotron_5F9B316D.yaml; Nemotron_DAD2FEF2.yaml; Nemotron_D757E929.yaml,0.12310745799514188,6
Medical / healthcare,2,15,"patient, art, therapy, medical, his, care",Nemotron_0D2E1D6E.yaml,"registered_nurse, medical_or_health_services_manager, physician",Nemotron_B6B2C32E.yaml; Nemotron_E4E071B7.yaml; Nemotron_62961B18.yaml; Nemotron_CF62007F.yaml; Nemotron_78EFE608.yaml,0.12310745799514188,6
Medical / healthcare,3,11,"art, bilingual, patient, mexican, medical, her",Nemotron_D39CB893.yaml,"healthcare_support_worker, licensed_practical_or_licensed_vocational_nurse, miscellaneous_health_technologist_or_technician",Nemotron_6BD259CE.yaml; Nemotron_EB99965E.yaml; Nemotron_11B619B6.yaml; Nemotron_D83C1191.yaml; Nemotron_D39CB893.yaml,0.12310745799514188,6
Medical / healthcare,4,6,"his, medical, nursing, nurse, care, year",Nemotron_EBCEBC8A.yaml,"healthcare_practitioner_or_technical_occupation, registered_nurse, medical_assistant",Nemotron_66251462.yaml; Nemotron_EBCEBC8A.yaml; Nemotron_73EE31BB.yaml; Nemotron_D55727C0.yaml; Nemotron_CD08DBB4.yaml,0.12310745799514188,6
Medical / healthcare,5,7,"therapy, mental health, mental, art, that, she",Nemotron_607A5899.yaml,"nursing_assistant, physical_therapist, physician",Nemotron_24A37D16.yaml; Nemotron_1B0E39AD.yaml; Nemotron_5F23C5CF.yaml; Nemotron_19DA1B80.yaml; Nemotron_607A5899.yaml,0.12310745799514188,6
Medical / healthcare,6,5,"her, calligraphy, asian, angeles, faith, she",Nemotron_65C77A44.yaml,"medical_assistant, healthcare_support_worker, physician",Nemotron_4EF46E87.yaml; Nemotron_65C77A44.yaml; Nemotron_C7D14E7E.yaml; Nemotron_C1020903.yaml; Nemotron_3E76CCB7.yaml,0.12310745799514188,6
